name,description
"Home & Kitchen","Products for home living and cooking needs."
"Health & Personal Care","Items for personal hygiene, wellness, and healthcare."
Beauty,"Cosmetics, skincare, haircare, and beauty products."
"Patio, Lawn & Garden","Outdoor living and gardening supplies."
"Toys & Games","Playthings, games, and toys for entertainment."
"CDs & Vinyl","Music albums and records in CD and vinyl formats."
"Grocery & Gourmet Food","Packaged foods, beverages, and gourmet items."
"Arts, Crafts & Sewing","Supplies for creative hobbies and sewing projects."
"Clothing, Shoes & Jewelry","Apparel, footwear, and accessories."
"Movies & TV","Films, TV shows, and related merchandise."
Software,"Computer programs and applications."
"Video Games","Games for various gaming platforms."
Automotive,"Parts, accessories, and supplies for vehicles."
"Pet Supplies","Products for pet care and grooming."
"Office Products","Supplies for office and workplace needs."
"Industrial & Scientific","Equipment and tools for industrial and scientific purposes."
"Musical Instruments","Instruments, gear, and accessories for musicians."
"Tools & Home Improvement","Tools and equipment for home improvement projects."
"Magazine Subscriptions","Periodic publications on various topics."
"Baby Products","Items for infant and toddler care."
label 25,No description provided.
Appliances,"Household appliances for various purposes."
"Kitchen & Dining","Cookware, dinnerware, and kitchen essentials."
"Collectibles & Fine Art","Collectible items and fine art pieces."
"All Beauty","Comprehensive range of beauty products."
"Luxury Beauty","High-end and premium beauty items."
"Amazon Fashion","Clothing and fashion accessories."
"Purchase Circles",No description provided.
"MP3 Players & Accessories","Digital music players and related accessories."
"Gift Cards","Prepaid cards for gifting or personal use."
"Office & School Supplies","Stationery and supplies for office and school needs."
"Home Improvement","Products and tools for home renovation and improvement."
"GPS & Navigation","Devices and software for navigation and location tracking."
"Digital Music","Downloadable or streaming music content."
Baby,"Products for infants and young children."
"Kindle Store","Digital books and content for Kindle devices."
"Buy a Kindle","Purchase options for Kindle e-readers."
"Furniture & Decor","Furniture pieces and home decor items."
#508510,No description provided.
