name,description
World,Explores global events and trends throughout history.
Americas,"Delves into the rich history of North, Central, and South America."
Asia,Focuses on the diverse cultures and historical developments in Asia.
Military,"Examines wars, conflicts, military strategy, and their impact on history."
Europe,Covers the complex history of the European continent.
Russia,"Specifically studies the history of Russia, its empires, and its role in the world."
Africa,Explores the vast and diverse histories of African nations and cultures.
Ancient Civilizations,"Investigates the origins, rise, and fall of early civilizations."
Middle East,"Examines the history of the Middle East, including its cultures and pivotal events."
Historical Study & Educational Resources,"Provides tools, guides, and resources for the study of history."
Australia & Oceania,"Focuses on the history of Australia, New Zealand, and Pacific Island nations."
Arctic & Antarctica,Explores the history and significance of the polar regions.
